
Basic assay information 
Assay ID: ,,,,156
Assay Started: ,,,,6/26/2019 11:28:45 AM
Assay Finished: ,,,,6/26/2019 11:30:33 AM
Assay Exported: ,,,,6/26/2019 11:31:04 AM
Protocol ID: ,,,,100102
Protocol Name: ,,,,96 Lum
Serial#: ,,,,="1050194"



Protocol information
Instrument nickname,,,,EnVision
Instrument serial number,,,,1050194
Assay started,,,,6/26/2019 11:28:45 AM
User,,,,N/A
Assay ID,,,,156
Protocol name,,,,96 Lum
Plate name,,,,96 Costar White

Labels:
Label name,,,,US LUM 96 (cps)
 Aperture:
 Aperture name,,,,96 Plate US Luminescence aperture



Assay notifications:
WARNING: Warning while loading plate. Stacker out of plates. Plate 2 Plate Repeat 1 Well H01

INFO: Assay aborted at plate 2  plate repeat 1 and well H01. There may be missing results


Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
1,1,"=""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1,6/26/2019 11:29:30 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 96 (cps),0,3080,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1
,01,02,03,04,05,06,07,08,09,10,11,12,
Results for US LUM 96 (cps)(1) - channel 0 (CPS)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,2320,8280,7800,6120,4760,5080,6240,5800,7600,8440,9760,1840,
B,10120,43288320,45221200,48331680,53063560,55579880,55043960,55167120,55533200,54982000,53007920,10080,
C,5920,31865680,47088640,54150160,59239840,61267920,59410480,60044000,59186600,58054560,57993680,11120,
D,3880,11902960,32478400,43745560,50736560,55835680,59228440,61303680,61723920,58716000,58571840,9960,
E,6680,43551080,56699400,59935000,61489640,62541880,63271960,62456480,63389960,61506800,59637360,7760,
F,9440,55868640,60294920,61619240,62181720,62741840,63110480,62144280,62663960,60687000,59169640,8320,
G,7520,40180080,55266000,58085280,60378680,61814120,62385640,61497080,61487480,59504640,59042920,8040,
H,1840,6200,7360,7080,6640,6120,6960,6800,7120,9280,8320,2520,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,
2,1,"=""""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1,6/26/2019 11:30:14 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
2,US LUM 96 (cps),0,3856,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 96 (cps)(1) channel 1
,01,02,03,04,05,06,07,08,09,10,11,12,
A,2840.0,10520,10160,9040.0,7720.0,9400.0,10440,10760,13160,13800,12440,2680.0,
B,13080,47112240,48574880,52181600,57253680,63093080,65233520,65232360,64730320,64300320,63275280,12680,
C,8920.0,36473520,55357320,64961720,67415560,69306120,69541920,69762880,68789880,67698840,67496120,14800,
D,5400.0,15003320,36718280,53608760,63482280,67871480,70976160,71102000,71260560,69843720,68960600,12560,
E,9400.0,48994320,64907360,69172520,72743800,73526760,73751640,73058360,73044040,71299800,69827600,10360,
F,10920,63592560,68861040,71461400,73317200,74044720,74109720,73535240,73196840,71982560,70044480,10640,
G,8360.0,41203880,63622960,69471040,72752880,74283920,74353920,73793960,72400440,71956440,70173520,10480,
H,1720.0,6600.0,9680.0,10720,10360,8800.0,9920.0,9560.0,11960,16080,12200,3200.0,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
2,1,"=""""",14.25,23.29,23.29,52.9,53,23.58,23.58,1,US LUM 96 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,6/26/2019 11:30:14 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
2,US LUM 96 (cps),0,3856,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

Results for US LUM 96 (cps)(1) - channel 0 (CPS)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,2840,10520,10160,9040,7720,9400,10440,10760,13160,13800,12440,2680,
B,13080,47112240,48574880,52181600,57253680,63093080,65233520,65232360,64730320,64300320,63275280,12680,
C,8920,36473520,55357320,64961720,67415560,69306120,69541920,69762880,68789880,67698840,67496120,14800,
D,5400,15003320,36718280,53608760,63482280,67871480,70976160,71102000,71260560,69843720,68960600,12560,
E,9400,48994320,64907360,69172520,72743800,73526760,73751640,73058360,73044040,71299800,69827600,10360,
F,10920,63592560,68861040,71461400,73317200,74044720,74109720,73535240,73196840,71982560,70044480,10640,
G,8360,41203880,63622960,69471040,72752880,74283920,74353920,73793960,72400440,71956440,70173520,10480,
H,1720,6600,9680,10720,10360,8800,9920,9560,11960,16080,12200,3200,


Exported with EnVision Workstation version 1.14.3049.528
